,movie_name,movie_year,movie_runtime,movie_rating,movie_metascore,movie_genre,movie_votes,movie_gross,movie_certificate,movie_synopsis,gen_1,gen_2,gen_3
170,Indiana Jones and the Last Crusade,1989,127,8.2,65,"Action, Adventure            ","703,843",197.17,PG-13,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Action,Adventure,
104,Toy Story,1995,81,8.3,95,"Animation, Adventure, Comedy            ","907,205",191.8,G,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Animation,Adventure,Comedy
62,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"Animation, Action, Adventure            ","403,569",190.24,PG,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Animation,Action,Adventure
746,Wreck-It Ralph,2012,101,7.7,72,"Animation, Adventure, Comedy            ","387,741",189.42,PG,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Animation,Adventure,Comedy
584,Dunkirk,2017,106,7.8,94,"Action, Drama, History            ","576,297",188.37,PG-13,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Action,Drama,History
21,Interstellar,2014,169,8.6,74,"Adventure, Drama, Sci-Fi            ","1,565,974",188.02,PG-13,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Adventure,Drama,Sci-Fi
40,Gladiator,2000,155,8.5,67,"Action, Adventure, Drama            ","1,370,332",187.71,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Action,Adventure,Drama
412,Dances with Wolves,1990,181,8,72,"Adventure, Drama, Western            ","245,913",184.21,PG-13,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Adventure,Drama,Western
671,The Fugitive,1993,130,7.8,87,"Action, Crime, Drama            ","273,040",183.88,PG-13,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Action,Crime,Drama
354,The Revenant,2015,156,8,76,"Action, Adventure, Drama            ","724,292",183.64,R,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Action,Adventure,Drama
803,Ocean's Eleven,2001,116,7.7,74,"Crime, Thriller            ","527,463",183.42,PG-13,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Crime,Thriller,
414,Rain Man,1988,133,8,65,Drama,"481,458",178.8,R,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Drama,,
610,How to Train Your Dragon 2,2014,102,7.8,76,"Animation, Action, Adventure            ","311,253",177,PG,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Animation,Action,Adventure
784,The Bourne Supremacy,2004,108,7.7,73,"Action, Mystery, Thriller            ","440,736",176.24,PG-13,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Action,Mystery,Thriller
729,Get Out,2017,104,7.7,85,"Horror, Mystery, Thriller            ","511,193",176.04,R,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Horror,Mystery,Thriller
967,Apollo 13,1995,140,7.6,77,"Adventure, Drama, History            ","275,388",173.84,PG,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Adventure,Drama,History
16,The Matrix,1999,136,8.7,73,"Action, Sci-Fi            ","1,715,571",171.48,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Action,Sci-Fi,
914,True Grit,2010,110,7.6,80,"Drama, Western            ","318,007",171.24,PG-13,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Drama,Western,
162,A Beautiful Mind,2001,135,8.2,72,"Biography, Drama            ","866,615",170.74,PG-13,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Biography,Drama,
358,The Help,2011,146,8,62,Drama,"434,737",169.71,PG-13,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,,
586,Hidden Figures,2016,127,7.8,74,"Biography, Drama, History            ","207,227",169.61,PG,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Biography,Drama,History
211,Gone Girl,2014,149,8.1,79,"Drama, Mystery, Thriller            ","885,454",167.77,R,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Drama,Mystery,Thriller
