Datos,Local,Marcador,Visita,Estadio
Domingo 25 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1625 Abril 2021 - 17:30 hrs.,Toluca,3 - 1,América,Nemesio Diez
Domingo 25 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1625 Abril 2021 - 19:30 hrs.,Gallos Blancos de Querétaro,1 - 0,FC Juárez,La Corregidora
Lunes 26 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1626 Abril 2021 - 21:00 hrs.,Pachuca,1 - 0,Santos Laguna,Hidalgo
Jueves 29 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1729 Abril 2021 - 21:00 hrs.,Club Atlético de San Luis,1 - 5,Pachuca,Alfonso Lastras Ramírez
Viernes 30 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1730 Abril 2021 - 19:30 hrs.,Necaxa,1 - 5,Atlas,Victoria
Viernes 30 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1730 Abril 2021 - 20:30 hrs.,FC Juárez,1 - 0,Toluca,Olímpico Benito Juárez
Sábado 1 de Mayo de 2021Temporada 2020-2021Torneo ClausuraJornada 171 Mayo 2021 - 17:00 hrs.,Guadalajara,0 - 0,UANL,Estadio AKRON
Sábado 1 de Mayo de 2021Temporada 2020-2021Torneo ClausuraJornada 171 Mayo 2021 - 17:00 hrs.,León,2 - 1,Gallos Blancos de Querétaro,Nou Camp
Sábado 1 de Mayo de 2021Temporada 2020-2021Torneo ClausuraJornada 171 Mayo 2021 - 19:00 hrs.,Cruz Azul,1 - 1,Tijuana,Azteca
Sábado 1 de Mayo de 2021Temporada 2020-2021Torneo ClausuraJornada 171 Mayo 2021 - 21:06 hrs.,Monterrey,1 - 0,Mazatlán FC,Estadio BBVA
Domingo 2 de Mayo de 2021Temporada 2020-2021Torneo ClausuraJornada 172 Mayo 2021 - 19:06 hrs.,Santos Laguna,0 - 0,Puebla F.C.,TSM Corona
Domingo 2 de Mayo de 2021Temporada 2020-2021Torneo ClausuraJornada 172 Mayo 2021 - 21:05 hrs.,PUMAS,0 - 1,América,Olímpico Universitario
Sábado 8 de Mayo de 2021Temporada 2020-2021Torneo ClausuraRecalificación8 Mayo 2021 - 19:00 hrs.,Atlas,1 - 0,UANL,Jalisco
Sábado 8 de Mayo de 2021Temporada 2020-2021Torneo ClausuraRecalificación8 Mayo 2021 - 21:15 hrs.,Santos Laguna,5 - 0,Gallos Blancos de Querétaro,TSM Corona
Domingo 9 de Mayo de 2021Temporada 2020-2021Torneo ClausuraRecalificación9 Mayo 2021 - 19:00 hrs.,León,2 - 2,Toluca,Nou Camp
Domingo 9 de Mayo de 2021Temporada 2020-2021Torneo ClausuraRecalificación9 Mayo 2021 - 21:15 hrs.,Pachuca,4 - 2,Guadalajara,Hidalgo
Miércoles 12 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Ida12 Mayo 2021 - 19:00 hrs.,Toluca,2 - 1,Cruz Azul,Nemesio Diez
Miércoles 12 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Ida12 Mayo 2021 - 21:05 hrs.,Atlas,1 - 0,Puebla F.C.,Jalisco
